number;mesh size mkm;number of fibers per 1sm;effective aperture_%;D/m2
12.0;1800.0;4.3;61.0;215.0
14.0;1600.0;4.9;60.0;190.0
15.0;1400.0;5.5;59.0;190.0
16.0;1320.0;5.8;56.0;190.0
17.0;1250.0;6.2;59.0;170.0
18.0;1180.0;6.5;59.0;160.0
19.0;1120.0;6.8;56.0;165.0
20.0;1000.0;7.6;58.0;155.0
22.0;950.0;8.0;57.0;145.0
23.0;900.0;8.3;55.0;145.0
24.0;850.0;8.8;56.0;147.0
26.0;800.0;9.3;53.0;142.0
27.0;750.0;9.8;54.0;140.0
28.0;710.0;10.0;53.0;130.0
30.0;670.0;10.8;53.0;136.0
31.0;630.0;11.5;50.0;130.0
32.0;600.0;12.0;51.0;135.0
34.0;560.0;12.5;48.0;132.0
36.0;530.0;13.2;50.0;130.0
38.0;500.0;13.9;47.0;128.0
40.0;475.0;15.0;47.0;120.0
42.0;450.0;15.4;45.0;125.0
44.0;425.0;16.0;44.0;130.0
45.0;400.0;17.2;47.0;105.0
46.0;390.0;18.0;46.0;115.0
47.0;375.0;18.4;44.0;110.0
48.0;363.0;18.8;45.0;105.0
50.0;355.0;19.4;45.0;100.0
52.0;335.0;20.2;44.0;100.0
54.0;315.0;21.0;41.0;110.0
56.0;308.0;21.4;43.0;105.0
58.0;300.0;22.7;44.0;85.0
60.0;280.0;23.8;40.0;90.0
62.0;275.0;24.1;44.0;95.0
64.0;260.0;25.0;40.0;95.0
66.0;250.0;27.0;44.0;75.0
68.0;243.0;27.5;43.0;76.0
70.0;236.0;28.1;42.0;78.0
72.0;224.0;29.0;41.0;80.0
74.0;212.0;27.0;35.0;105.0
7.0;200.0;30.0;41.0;84.0
8.0;180.0;36.0;39.0;69.0
8.5;160.0;38.5;38.0;75.0
9.0;150.0;40.0;38.0;65.0
9.5;140.0;43.0;37.0;70.0
10.0;132.0;48.0;37.0;65.0
10.5;121.0;49.0;37.0;61.0
11.0;118.0;51.0;32.0;70.0
12.0;112.0;54.0;35.0;57.0
13.0;100.0;58.0;31.0;60.0
14.0;95.0;61.0;33.0;64.0
