system;02mar23;03apr23;low_white;Yield_in_%;Yield_in_kg;
В1А_L;56.8;52.8;0.0;0.0223;1.050;
В2В_R;52.1;51.5;0.0;0.0319;1.503;
В2В_L;58.4;53.2;0.0;0.0321;1.513;
В3А_L;51.8;47.3;1.0;0.0211;0.996;
В3В_R;52.8;52.3;1.0;0.0218;1.030;
В4_R;45.3;40.8;1.0;0.0110;0.521;
В5_R;50.5;41.4;1.0;0.0104;0.489;
DIV_L;51.9;50.8;1.0;0.0430;2.027;
DIV_R;57.7;55.1;0.0;0.0441;2.083;
С1А_L;60.0;61.0;0.0;0.0946;4.465;
С1А_R;60.9;61.7;0.0;0.0953;4.496;
С1В_L;62.9;59.0;0.0;0.0423;1.997;
С1В_R;62.8;58.7;0.0;0.0427;2.016;
С2_L;64.3;63.8;0.0;0.1062;5.009;
С2_R;64.0;62.5;0.0;0.1057;4.989;
С3_L;63.5;62.3;0.0;0.0640;3.018;
С3_R;61.9;59.4;0.0;0.0619;2.921;
С4_L;55.8;50.8;0.0;0.0316;1.489;
С4_R;53.9;51.4;0.0;0.0300;1.415;
С5_L;53.4;48.6;1.0;0.0230;1.085;
С5_R;53.0;47.7;1.0;0.0212;1.002;
С6_L;46.5;43.6;1.0;0.0208;0.983;
С6_R;40.7;39.5;1.0;0.0231;1.088;
